Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2025/11/16 12:53:09,"6,220",-,-,-,-,-,Payment,あきんどスシロー - 秋葉原中央通り店,Credit Mastercard 5298,-,-,04845750371889061892
2025/11/16 12:52:49,-,44,-,-,-,-,"Points, Balance Earned",あきんどスシロー,PayPay Point,-,-,04845750191500951555
2025/11/16 12:52:48,"2,300",-,-,-,-,-,Payment,あきんどスシロー - 秋葉原中央通り店,Credit Mastercard 5298,-,-,04845750191500951555
2025/11/16 03:22:02,-,143,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_ff383c62-c1c1-47ac-9637-6418ee142e28_sppf
2025/11/16 03:22:01,"14,784",-,-,-,-,-,Payment,Yahoo!ショッピング,"PayPay Point (51yen), Credit Mastercard 5298 (14,733yen)",-,-,04845456012010512384
2025/11/15 21:11:00,-,600,-,-,-,JP,Money Received,ハナノトウ,PayPay Balance,-,-,02134116512133144582
2025/11/15 12:29:59,-,8,-,-,-,-,"Points, Balance Earned",オーケー,PayPay Point,-,-,04844996252941164555
2025/11/15 12:29:59,559,-,-,-,-,-,Payment,オーケー - 越谷大泊,Credit Mastercard 5298,-,-,04844996252941164555
2025/11/15 12:16:01,-,144,-,-,-,-,"Points, Balance Earned",焼肉レストラン 安楽亭,PayPay Point,-,-,04844989054576254987
2025/11/15 12:16:01,"7,307",-,-,-,-,-,Payment,焼肉レストラン 安楽亭 - 下間久里店,Credit Mastercard 5298,-,-,04844989054576254987
2025/11/15 00:54:44,292,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04844637923820134400
2025/11/14 20:25:12,-,36,-,-,-,-,"Points, Balance Earned",ＥＴＣカード売上,PayPay Point,-,-,PPCD_C_202511140700003275252606
2025/11/14 16:53:28,-,32,-,-,-,-,"Points, Balance Earned",富士薬品グループ,PayPay Point,-,-,04844389880868356097
2025/11/14 16:53:27,"1,674",-,-,-,-,-,Payment,富士薬品グループ - ドラッグストアスマイル　せんげん台店,Credit Mastercard 5298,-,-,04844389880868356097
2025/11/14 16:44:54,-,8,-,-,-,-,"Points, Balance Earned",マツモトキヨシ,PayPay Point,-,-,04844385465641836546
2025/11/14 16:44:53,470,-,-,-,-,-,Payment,マツモトキヨシ - マツモトキヨシセブンタウンせんげん台店,Credit Mastercard 5298,-,-,04844385465641836546
2025/11/14 16:35:17,-,4,-,-,-,-,"Points, Balance Earned",ヨークフーズ,PayPay Point,-,-,04844380509249994755
2025/11/14 16:35:17,381,-,-,-,-,-,Payment,ヨークフーズ - ヨークフーズせんげん台店,Credit Mastercard 5298,-,-,04844380509249994755
2025/11/14 16:16:57,-,116,-,-,-,-,"Points, Balance Earned",ジヤパンミートコシガヤテン,PayPay Point,-,-,PPCD_A_2025111011174500060775
2025/11/14 15:39:15,-,36,-,-,-,-,"Points, Balance Earned",エビスバインミーベーカリー,PayPay Point,-,-,04844351629889568770
2025/11/14 15:39:14,"1,880",-,-,-,-,-,Payment,エビスバインミーベーカリー - エビスバインミーベーカリー,Credit Mastercard 5298,-,-,04844351629889568770
2025/11/14 08:17:55,580,-,-,-,-,-,Payment,トブチケ！,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025111408175500364957
2025/11/14 01:17:52,188,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04843907684889993218
2025/11/13 15:48:11,-,100,-,-,-,-,"Points, Balance Earned",ふるさとチョイス,PayPay Point,-,-,04843614072336261120
2025/11/13 15:48:11,"5,000",-,-,-,-,-,Payment,ふるさとチョイス - ふるさと納税サイト「ふるさとチョイス」,Credit Mastercard 5298,-,-,04843614072336261120
